"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",3047.56487617947,1.10407414898327,0.102400833481014,10.7818863523994,4.19199744441069e-27,5.07864898800669e-26
"ENSG00000000005.6",6.68188849288932,1.57755072361894,0.467815400022236,3.37216501112182,0.000745797507188971,0.00123336695856626
"ENSG00000000419.13",1522.60733938901,0.252623545720111,0.0765107226027795,3.30180577474945,0.000960645644452259,0.0015682081033592
"ENSG00000000457.14",753.529567882676,0.477010116141185,0.065313371292238,7.30340674051033,2.80571370241287e-13,1.25247028048671e-12
"ENSG00000000460.17",373.024525184993,1.73851804160123,0.0993662060475433,17.4960694460792,1.53503805645977e-68,1.44307242334427e-66
"ENSG00000000938.13",1342.75091040951,-2.10825972752087,0.136895550514561,-15.400498552337,1.62412322911782e-53,8.09022767636502e-52
"ENSG00000000971.16",5231.83612787312,0.172627366592425,0.1492164820161,1.15689208229557,0.247316453986629,0.285915653873537
"ENSG00000001036.14",2377.66270107706,0.23790961502585,0.0878919789848955,2.70684103115638,0.00679267753446854,0.00988510872620569
"ENSG00000001084.13",4312.55735143921,2.22906922575261,0.215170093265266,10.3595680604394,3.78668153450175e-25,4.03925446782996e-24
"ENSG00000001167.14",1879.90712231708,0.791687566363606,0.0752902440227682,10.5151414587552,7.35703190430254e-26,8.1983161364829e-25
"ENSG00000001460.18",569.308354030839,-0.329806009519939,0.0838270724491018,-3.93436153600845,8.34181408807278e-05,0.000155695188007679
"ENSG00000001461.17",2330.43981602941,-0.538900521665555,0.0891791820552362,-6.0428959903643,1.51372242962233e-09,4.80379047309075e-09
"ENSG00000001497.18",1992.64638847767,0.359916082627813,0.0587385642496414,6.1274239032836,8.93132909537391e-10,2.90268195599652e-09
"ENSG00000001561.7",2344.28175938703,-0.615458335253211,0.101904664917065,-6.03955015949563,1.54544466843136e-09,4.89857254032757e-09
"ENSG00000001617.12",1803.01741184396,-0.257446716897735,0.131290292522474,-1.9608968184275,0.0498910605509486,0.0643644862692756
"ENSG00000001626.16",1069.34496815267,-1.24235411451298,0.247388002533008,-5.02188506230093,5.11668008747483e-07,1.23458904684912e-06
"ENSG00000001629.10",3188.67811740675,0.606485776321061,0.0795055313645018,7.62822115533774,2.38015000638144e-14,1.15599467043033e-13
